,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,2055,2254,Private room,,,85,5.0,2.0,1.0,1.0,69.0,1.0,25.749175,-80.234649,2016-02-13 00:47:26.034277
1,7474,19793,Private room,,,20,5.0,2.0,1.0,1.0,115.0,1.0,25.844885,-80.184537,2016-02-12 18:52:08.265645
2,8773,7716,Entire home/apt,,,12,4.5,2.0,1.0,1.0,129.0,14.0,25.771653,-80.133328,2016-02-12 18:56:54.363046
3,11197,8229,Entire home/apt,,,1,5.0,2.0,1.0,1.0,125.0,5.0,25.778194,-80.130569,2016-02-12 21:51:45.161303
4,11961,28793,Entire home/apt,,,66,4.5,3.0,1.0,1.0,129.0,3.0,25.777435,-80.139088,2016-02-12 15:14:34.575299
5,16471,64078,Entire home/apt,,,130,5.0,2.0,1.0,1.0,130.0,1.0,25.785384,-80.132527,2016-02-13 01:54:17.853623
6,16545,64311,Entire home/apt,,,8,4.5,5.0,2.0,,140.0,1.0,25.683285,-80.400341,2016-02-13 03:09:58.588186
7,16927,65669,Entire home/apt,,,50,4.5,4.0,2.0,2.0,200.0,181.0,25.827235,-80.12023,2016-02-13 03:39:22.676945
8,17491,67884,Entire home/apt,,,11,4.5,4.0,1.0,1.0,150.0,,25.79335,-80.130144,2016-02-13 04:24:22.195631
9,17822,68825,Entire home/apt,,,6,5.0,,3.0,,689.0,,25.870245,-80.16613,2016-02-12 22:36:19.994402
10,19455,73913,Entire home/apt,,,0,,3.0,1.0,1.0,140.0,3.0,25.772154,-80.131039,2016-02-13 00:28:33.038726
11,20186,59907,Entire home/apt,,,33,4.5,5.0,2.0,1.0,300.0,3.0,25.773654,-80.134422,2016-02-12 18:27:38.176673
12,20187,59907,Entire home/apt,,,18,5.0,4.0,1.0,1.0,170.0,3.0,25.788009,-80.137135,2016-02-13 00:53:55.845501
13,20188,59907,Entire home/apt,,,5,5.0,,3.0,2.0,300.0,7.0,25.782707,-80.212887,2016-02-12 20:59:19.026522
14,20201,76385,Entire home/apt,,,6,4.5,2.0,1.0,1.0,99.0,4.0,25.797222,-80.131232,2016-02-13 03:53:45.954490
15,20472,77294,Entire home/apt,,,156,5.0,,1.0,1.0,150.0,1.0,25.806661,-80.129204,2016-02-12 18:51:45.664600
16,20546,77595,Entire home/apt,,,31,4.5,,1.0,1.0,350.0,,25.771048,-80.138195,2016-02-12 18:46:22.657185
17,21672,77294,Entire home/apt,,,158,5.0,,1.0,1.0,149.0,2.0,25.8058,-80.127912,2016-02-13 02:48:28.716931
18,24070,70447,Entire home/apt,,,83,4.5,2.0,0.0,1.0,89.0,,25.778773,-80.133053,2016-02-12 23:26:42.296528
19,24372,95408,Entire home/apt,,,36,4.5,2.0,1.0,,79.0,6.0,25.859606,-80.121828,2016-02-12 14:22:23.113380
20,24972,52601,Entire home/apt,,,21,5.0,5.0,2.0,1.0,140.0,1.0,25.934454,-80.124423,2016-02-13 00:59:09.917375
21,26436,111978,Entire home/apt,,,8,5.0,,2.0,2.0,300.0,3.0,25.780773,-80.189935,2016-02-12 14:38:45.178082
22,26670,101521,Entire home/apt,,,33,4.0,,2.0,2.0,199.0,4.0,25.87882,-80.120588,2016-02-13 03:38:47.132181
23,34448,52601,Entire home/apt,,,14,5.0,,3.0,2.0,300.0,1.0,25.937852,-80.121982,2016-02-12 14:54:07.095189
