room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7798558,5050881,Entire home/apt,,Mount Vernon Square,0,,2.0,1.0,115.0,1.0,38.90186,-77.016861,2016-02-21 01:32:09.593121
11009303,11707044,Shared room,,Shaw,0,,2.0,1.0,35.0,1.0,38.906399,-77.019438,2016-02-21 01:32:05.908992
7574007,11080974,Shared room,,Brentwood,7,4.5,2.0,1.0,60.0,1.0,38.920264,-77.00325,2016-02-21 01:31:58.682181
1311846,7128900,Private room,,Brentwood,2,5.0,1.0,1.0,50.0,1.0,38.926913,-76.958035,2016-02-21 01:31:34.641565
6717232,32959018,Entire home/apt,,Ledroit Park,4,4.5,,3.0,199.0,3.0,38.916129,-77.017017,2016-02-21 01:31:31.219120
8309843,43811269,Entire home/apt,,Foggy Bottom,10,5.0,3.0,1.0,130.0,,38.89652,-77.045389,2016-02-21 01:31:20.123137
8444659,4280278,Entire home/apt,,Capitol Hill,6,4.5,5.0,2.0,280.0,2.0,38.897507,-77.000419,2016-02-21 01:31:12.395187
9043077,1190280,Entire home/apt,,Woodley Park,0,,2.0,1.0,175.0,2.0,38.926513,-77.05163,2016-02-21 01:30:25.769396
4060155,21057985,Private room,,Adams Morgan,16,5.0,2.0,1.0,107.0,1.0,38.91869,-77.038432,2016-02-21 01:30:15.538426
98065,25188,Entire home/apt,,Foggy Bottom,0,,3.0,1.0,249.0,4.0,38.907566,-77.053835,2016-02-21 01:29:47.934341
873603,1782353,Entire home/apt,,Columbia Heights,6,4.5,3.0,1.0,110.0,1.0,38.922454,-77.034373,2016-02-21 01:29:26.059079
4733998,6120700,Entire home/apt,,Columbia Heights,40,5.0,,2.0,149.0,3.0,38.923138,-77.026558,2016-02-21 01:29:04.940522
4135113,6263160,Private room,,Capitol Hill,32,5.0,2.0,1.0,104.0,1.0,38.877684,-76.989396,2016-02-21 01:29:02.346173
1123343,51269,Entire home/apt,,Mount Pleasant,34,4.5,3.0,1.0,110.0,3.0,38.931496,-77.040895,2016-02-21 01:28:54.009628
4758676,24554688,Entire home/apt,,Mount Pleasant,18,4.5,4.0,1.0,125.0,1.0,38.93559,-77.042233,2016-02-21 01:28:39.817664
4639054,14966767,Entire home/apt,,Ledroit Park,0,,4.0,1.0,99.0,1.0,38.914486,-77.011559,2016-02-21 01:28:29.616453
7239715,37904773,Entire home/apt,,Georgetown,4,5.0,2.0,1.0,135.0,1.0,38.910675,-77.056647,2016-02-21 01:28:27.032399
7045613,36946010,Entire home/apt,,Catholic University-Brookland,2,5.0,4.0,1.0,115.0,2.0,38.93872,-77.021052,2016-02-21 01:28:15.271834
7930288,10292686,Entire home/apt,,Capitol Hill,2,5.0,2.0,0.0,95.0,2.0,38.89043,-77.000648,2016-02-21 01:28:10.544999
1594221,8503228,Private room,,Petworth,42,5.0,2.0,1.0,75.0,2.0,38.93644,-77.028335,2016-02-21 01:27:21.512022
9348992,48518826,Private room,,Adams Morgan,0,,1.0,1.0,75.0,2.0,38.92075,-77.041378,2016-02-21 01:27:11.827513
6152134,24157565,Entire home/apt,,Adams Morgan,11,5.0,3.0,0.0,175.0,2.0,38.917071,-77.045452,2016-02-21 01:27:06.803226
5236689,24737079,Private room,,Takoma Park,15,4.0,2.0,1.0,37.0,1.0,38.992674,-77.037763,2016-02-21 01:27:02.504219
1979608,10216396,Entire home/apt,,Adams Morgan,38,4.5,2.0,1.0,110.0,1.0,38.920021,-77.038271,2016-02-21 01:26:57.917230
10265297,37609710,Shared room,,Glover Park,0,,1.0,1.0,35.0,1.0,38.921597,-77.073922,2016-02-21 01:26:44.488460
5794047,29862214,Entire home/apt,,Anacostia,12,4.5,,3.0,188.0,2.0,38.864977,-76.980817,2016-02-21 01:26:30.393122
2665469,13642379,Private room,,Adams Morgan,1,5.0,2.0,1.0,150.0,1.0,38.922832,-77.042229,2016-02-21 01:26:27.983437
5570341,1111051,Private room,,Catholic University-Brookland,4,4.5,1.0,1.0,54.0,1.0,38.951756,-77.020648,2016-02-21 01:26:23.917976
4714859,24361527,Private room,,Dupont Circle,15,5.0,2.0,1.0,90.0,1.0,38.916443,-77.03958,2016-02-21 01:26:05.841883
7732528,40629622,Entire home/apt,,Dupont Circle,5,4.0,4.0,1.0,119.0,1.0,38.915899,-77.042213,2016-02-21 01:25:44.688983
6537975,20627033,Entire home/apt,,Shaw,11,4.5,,2.0,250.0,1.0,38.915065,-77.019446,2016-02-21 01:25:18.456677
5003334,14513477,Entire home/apt,,Foggy Bottom,36,4.5,4.0,1.0,99.0,30.0,38.898822,-77.05059,2016-02-21 01:25:09.441014
8541562,42062976,Entire home/apt,,Ledroit Park,5,4.5,2.0,1.0,75.0,1.0,38.916413,-77.009981,2016-02-21 01:24:53.017168
10121809,3575991,Entire home/apt,,Georgetown,1,5.0,2.0,1.0,89.0,3.0,38.903965,-77.066049,2016-02-21 01:24:47.487936
10535847,7138809,Entire home/apt,,Chevy Chase,0,,4.0,1.0,135.0,2.0,38.962087,-77.073304,2016-02-21 01:24:22.059904
10037486,30283594,Entire home/apt,,Foggy Bottom,0,,5.0,2.0,169.0,3.0,38.905703,-77.051952,2016-02-21 01:24:09.665440
8067837,3575072,Entire home/apt,,Capitol Hill,2,5.0,2.0,1.0,115.0,2.0,38.885081,-76.994864,2016-02-21 01:23:53.855361
8034908,3175198,Entire home/apt,,Fort Totten-Upper Northeast,2,5.0,2.0,0.0,80.0,4.0,38.966803,-77.021188,2016-02-21 01:23:50.312792
6201336,32158886,Private room,,Capitol Hill,44,4.5,4.0,1.0,71.0,2.0,38.901904,-76.984827,2016-02-21 01:23:33.776026
212586,25188,Entire home/apt,,Downtown,41,5.0,5.0,2.0,299.0,3.0,38.901056,-77.034158,2016-02-21 01:23:28.602086
1262298,5073091,Entire home/apt,,Adams Morgan,7,5.0,2.0,0.0,115.0,2.0,38.920611,-77.03688,2016-02-21 01:23:15.716338
8606256,44461566,Entire home/apt,,Georgetown,1,5.0,4.0,3.0,495.0,2.0,38.907547,-77.065672,2016-02-21 01:23:11.283391
3897111,6912337,Entire home/apt,,Capitol Hill,1,4.0,2.0,1.0,80.0,3.0,38.898812,-76.993334,2016-02-21 01:23:06.936056
269073,1407462,Private room,,Dupont Circle,7,4.5,1.0,1.0,75.0,5.0,38.912112,-77.045898,2016-02-21 01:22:56.888301
5126873,26474746,Shared room,,Mount Pleasant,4,5.0,2.0,1.0,41.0,1.0,38.930557,-77.038145,2016-02-21 01:22:47.417950
4801046,3615132,Entire home/apt,,Capitol Hill,35,5.0,3.0,1.0,99.0,2.0,38.884651,-77.000134,2016-02-21 01:22:30.298070
7278916,1675408,Entire home/apt,,Brentwood,1,,2.0,1.0,130.0,1.0,38.921549,-77.003402,2016-02-21 01:22:25.308004
2153587,270541,Entire home/apt,,Columbia Heights,80,4.5,,2.0,110.0,2.0,38.931314,-77.02674,2016-02-21 01:22:21.253971
5030765,25969674,Entire home/apt,,Capitol Hill,17,5.0,5.0,2.0,300.0,1.0,38.904417,-77.001252,2016-02-21 01:22:06.931637
11337494,51009383,Shared room,,Shaw,0,,4.0,1.0,40.0,1.0,38.908471,-77.023392,2016-02-21 01:22:03.192403
7457615,39057839,Entire home/apt,,Dupont Circle,1,5.0,4.0,2.0,250.0,1.0,38.913971,-77.039634,2016-02-21 01:21:54.222758
6950559,2139171,Entire home/apt,,Adams Morgan,3,5.0,4.0,1.0,80.0,4.0,38.927083,-77.040984,2016-02-21 01:21:29.786511
